Q 1,Q 2,Q 3,Q 4
47.0,68.0,66.0,55.0
36.0,45.0,67.0,66.0
48.0,58.0,71.0,25.0
68.0,37.0,81.0,56.0
65.0,55.0,50.0,37.0
91.0,56.0,74.0,73.0
84.0,56.0,73.0,44.0
52.0,54.0,62.0,64.0
81.0,54.0,74.0,45.0
87.0,70.0,60.0,7.0
91.0,100.0,60.0,40.0
67.0,71.0,75.0,23.0
56.0,42.0,60.0,57.0
51.0,50.0,73.0,71.0
76.0,31.0,66.0,61.0
85.0,57.0,51.0,62.0
44.0,69.0,82.0,36.0
90.0,54.0,43.0,47.0
77.0,31.0,62.0,47.0
73.0,71.0,86.0,40.0
49.0,82.0,91.0,49.0
72.0,41.0,64.0,37.0
84.0,74.0,87.0,58.0
76.0,41.0,63.0,42.0
78.0,78.0,59.0,92.0
79.0,73.0,50.0,47.0
82.0,50.0,83.0,60.0
67.0,75.0,73.0,60.0
70.0,19.0,69.0,56.0
64.0,96.0,51.0,55.0
49.0,68.0,98.0,33.0
74.0,39.0,60.0,27.0
71.0,81.0,39.0,65.0
77.0,45.0,90.0,82.0
86.0,46.0,75.0,34.0
62.0,44.0,57.0,78.0
83.0,57.0,72.0,29.0
81.0,48.0,71.0,55.0
100.0,24.0,94.0,43.0
85.0,71.0,57.0,55.0
63.0,56.0,64.0,52.0
66.0,58.0,68.0,46.0
49.0,57.0,75.0,53.0
74.0,61.0,80.0,47.0
88.0,83.0,67.0,84.0
67.0,80.0,66.0,85.0
88.0,76.0,65.0,55.0
